canonical_term,variant_term,source
MYOCARDIAL INFARCTION,ACUTE MYOCARDIAL INFARCTION,manual_review_public_meddra_style_grouping
MYOCARDIAL INFARCTION,MI,manual_review_public_meddra_style_grouping
VENOUS THROMBOEMBOLISM,DEEP VEIN THROMBOSIS,manual_review_public_meddra_style_grouping
VENOUS THROMBOEMBOLISM,PULMONARY EMBOLISM,manual_review_public_meddra_style_grouping
GASTROPARESIS,GASTRIC EMPTYING DELAYED,manual_review_public_meddra_style_grouping
MALIGNANT NEOPLASM,CANCER,manual_review_public_meddra_style_grouping
