id,drug_name,reaction_term,case_count,drug_total,reaction_total,grand_total,prr,ror,prr_chi_square,signal_status,confidence,first_detected_date,last_updated,serious_ratio,death_ratio,countries_count,source_proxy_count,passes_robust_filter,artifact_reason,robust_signal_score
145,CLOZAPINE,NEUTROPHILIA,329,329,329,20864371,542.8263,562.5738,142663.2446,STRONG_SIGNAL,HIGH,2026-06-29,2026-06-29T23:27:37.130252+00:00,0.9544072948328267,0.26443768996960487,5,5,True,passes_robust_filter,1029.4624633671629
146,JADELLE,GENITAL HAEMORRHAGE,97,97,97,20864371,1395.8631,1704.7711,129206.7492,STRONG_SIGNAL,HIGH,2026-06-29,2026-06-29T23:27:37.130252+00:00,1.0,0.0,7,7,True,passes_robust_filter,1027.6540670471566
147,NICORETTE,NICOTINE DEPENDENCE,284,284,284,20864371,2230.9276,2517.2293,497923.6498,STRONG_SIGNAL,HIGH,2026-06-29,2026-06-29T23:27:37.130252+00:00,0.10915492957746478,0.0,14,14,True,passes_robust_filter,1025.2092149758635
148,DUODOPA,STOMA SITE ERYTHEMA,193,193,193,20864371,209.3486,210.8582,31359.5343,STRONG_SIGNAL,HIGH,2026-06-29,2026-06-29T23:27:37.130252+00:00,0.9792746113989638,0.09326424870466321,22,22,True,passes_robust_filter,1024.8174545876827
149,BUSULFAN,VENOOCCLUSIVE DISEASE,113,113,113,20864371,328.328,336.5567,34079.8834,STRONG_SIGNAL,HIGH,2026-06-29,2026-06-29T23:27:37.130252+00:00,1.0,0.24778761061946902,12,12,True,passes_robust_filter,1023.1493518281353
150,TAGRISSO,DEATH,2027,2027,2027,20864371,17.9572,22.5709,32569.4059,STRONG_SIGNAL,HIGH,2026-06-29,2026-06-29T23:27:37.130252+00:00,0.9995066600888012,0.9995066600888012,35,35,True,passes_robust_filter,1014.4401699142732
151,GILOTRIF,MALIGNANT NEOPLASM PROGRESSION,580,580,580,20864371,66.0725,75.0823,36622.0095,STRONG_SIGNAL,HIGH,2026-06-29,2026-06-29T23:27:37.130252+00:00,1.0,0.16206896551724137,42,42,True,passes_robust_filter,1013.6444606347986
152,DASATINIB,PHILADELPHIA CHROMOSOME POSITIVE,41,41,41,20864371,919.8523,929.1428,31101.5727,STRONG_SIGNAL,HIGH,2026-06-29,2026-06-29T23:27:37.130252+00:00,1.0,0.07317073170731707,14,14,True,passes_robust_filter,1013.533627567468
153,CUROSURF,DEATH NEONATAL,13,13,13,20864371,4028.998,4179.9028,45254.801,STRONG_SIGNAL,HIGH,2026-06-29,2026-06-29T23:27:37.130252+00:00,1.0,1.0,3,3,True,passes_robust_filter,1012.9746005031028
154,TACROLIMUS,POST TRANSPLANT LYMPHOPROLIFERATIVE DISORDER,325,325,325,20864371,86.3685,87.0743,23481.0212,STRONG_SIGNAL,HIGH,2026-06-29,2026-06-29T23:27:37.130252+00:00,1.0,0.28,29,29,True,passes_robust_filter,1008.6484469480678
155,AMSACRINE,ACUTE MYELOID LEUKAEMIA RECURRENT,16,16,16,20864371,1807.493,1929.4504,26529.134,STRONG_SIGNAL,HIGH,2026-06-29,2026-06-29T23:27:37.130252+00:00,1.0,0.9375,4,4,True,passes_robust_filter,1002.6261690033286
156,TENOFOVIR DISOPROXIL FUMARATE,PATHOGEN RESISTANCE,269,269,269,20864371,217.822,230.0086,54954.6948,STRONG_SIGNAL,HIGH,2026-06-29,2026-06-29T23:27:37.130252+00:00,1.0,0.0,20,20,True,passes_robust_filter,999.6732641245748
157,PROPOFOL MANUFACTURER UNKNOWN,PROPOFOL INFUSION SYNDROME,13,13,13,20864371,2135.0464,2175.5465,23927.6725,STRONG_SIGNAL,HIGH,2026-06-29,2026-06-29T23:27:37.130252+00:00,1.0,0.46153846153846156,8,8,True,passes_robust_filter,998.721711017726
158,NUTRINEAL PD4,DEATH,175,175,175,20864371,63.4354,262.0933,10813.9264,STRONG_SIGNAL,HIGH,2026-06-29,2026-06-29T23:27:37.130252+00:00,1.0,1.0,7,7,True,passes_robust_filter,998.326990751886
159,SPINRAZA,POST LUMBAR PUNCTURE SYNDROME,116,116,116,20864371,3879.6331,3990.1789,250736.1222,STRONG_SIGNAL,HIGH,2026-06-29,2026-06-29T23:27:37.130252+00:00,0.25862068965517243,0.008620689655172414,10,10,True,passes_robust_filter,998.3149263568513
160,POMALIDOMIDE,PLASMA CELL MYELOMA,169,169,169,20864371,80.3995,85.3129,13036.2789,STRONG_SIGNAL,HIGH,2026-06-29,2026-06-29T23:27:37.130252+00:00,0.9467455621301775,0.4556213017751479,31,31,True,passes_robust_filter,997.6823522148314
161,KISQALI,BREAST CANCER METASTATIC,162,162,162,20864371,102.031,103.4217,15219.4558,STRONG_SIGNAL,HIGH,2026-06-29,2026-06-29T23:27:37.130252+00:00,1.0,0.3765432098765432,26,26,True,passes_robust_filter,995.8243302718043
162,EXJADE,SERUM FERRITIN INCREASED,101,101,101,20864371,263.2225,269.5631,24786.6732,STRONG_SIGNAL,HIGH,2026-06-29,2026-06-29T23:27:37.130252+00:00,0.9603960396039604,0.09900990099009901,23,23,True,passes_robust_filter,990.8711431182695
