drug_name,reaction_term,case_count,prr,ror,prr_chi_square,serious_ratio,death_ratio,countries_count,source_proxy_count,passes_robust_filter,artifact_reason,robust_signal_score
METFORMIN,LACTIC ACIDOSIS,2272,33.0243,33.6518,59395.6233,1.0,0.20994718309859156,46,46,True,passes_robust_filter,900.4565481408785
JAYDESS,PREGNANCY WITH CONTRACEPTIVE DEVICE,54,497.7294,519.9526,25509.9384,1.0,0.0,17,17,True,passes_robust_filter,900.2188915856681
EFAVIRENZ,PATHOGEN RESISTANCE,236,182.5733,191.1077,40578.9198,1.0,0.0,19,19,True,passes_robust_filter,897.9394781056355
IPILIMUMAB,HYPOPHYSITIS,127,305.9997,309.8013,33269.5614,0.984251968503937,0.047244094488188976,14,14,True,passes_robust_filter,897.7260846953143
NEXPLANON,UNINTENDED PREGNANCY,468,246.5868,249.9465,80984.9914,0.9978632478632479,0.0,10,10,True,passes_robust_filter,897.3361689400185
VENETOCLAX,CHRONIC LYMPHOCYTIC LEUKAEMIA,56,110.5802,111.5094,5768.6595,0.9821428571428571,0.5714285714285714,23,23,True,passes_robust_filter,894.1284776869593
DACLATASVIR,HEPATOCELLULAR CARCINOMA,84,286.5083,302.276,23109.3571,1.0,0.17857142857142858,13,13,True,passes_robust_filter,894.0844555588598
GILOTRIF,PARONYCHIA,72,217.4917,220.8103,14576.2733,0.9722222222222222,0.1388888888888889,23,23,True,passes_robust_filter,892.7185101304163
HEPARIN SODIUM,HEPARIN-INDUCED THROMBOCYTOPENIA,60,516.2792,529.8511,28685.554,1.0,0.2,9,9,True,passes_robust_filter,890.6774484844723
BSS,TOXIC ANTERIOR SEGMENT SYNDROME,14,9379.8615,10053.2157,111594.2009,1.0,0.0,6,6,True,passes_robust_filter,888.3651523754005
DARUNAVIR RITONAVIR,PATHOGEN RESISTANCE,63,495.8219,567.1578,30266.2828,1.0,0.0,14,14,True,passes_robust_filter,886.9209272458409
LUCENTIS,AGE-RELATED MACULAR DEGENERATION,84,837.9487,847.5741,53504.9401,1.0,0.0,8,8,True,passes_robust_filter,886.3178210309154
IBRANCE,NEOPLASM PROGRESSION,2442,69.1026,72.2342,138420.5824,0.3808353808353808,0.12612612612612611,44,44,True,passes_robust_filter,884.9441846648593
DUODOPA,STOMA SITE HYPERGRANULATION,76,262.3354,263.0778,14595.2893,0.9868421052631579,0.06578947368421052,21,21,True,passes_robust_filter,883.9990556855277
BELIMUMAB,SYSTEMIC LUPUS ERYTHEMATOSUS,273,310.2652,376.0202,81998.1069,1.0,0.003663003663003663,9,9,True,passes_robust_filter,883.5319964226595
BEOVU,VITRITIS,80,1294.7214,1339.4095,88910.1359,0.975,0.0125,6,6,True,passes_robust_filter,882.5929378680938
KYLEENA,GENITAL HAEMORRHAGE,222,300.7593,312.3649,60812.127,1.0,0.0,11,11,True,passes_robust_filter,881.8347557390987
IMFINZI,PNEUMONITIS,226,110.7324,117.499,23983.6732,1.0,0.20353982300884957,19,19,True,passes_robust_filter,880.922122596245
GABAPENTIN ENACARBIL,TOXICITY TO VARIOUS AGENTS,211,90.3006,137.4067,18566.8536,1.0,0.8957345971563981,6,6,True,passes_robust_filter,879.5475799625895
NEXPLANON,COMPLICATION ASSOCIATED WITH DEVICE,1807,307.5639,324.4164,365064.953,0.3364692861095739,0.0005534034311012728,13,13,True,passes_robust_filter,877.888412339159
