,case_count,prr,ror,prr_ror,prr_ror_chi_square,robust_prr_ror,bcpnn_ic025,ebgm_eb05,xgboost
case_count,1.0,0.4229755737264872,0.42293457465868267,0.42306405901983635,0.4850984127120539,0.5962714793774218,0.3766276292761086,0.5435282977536353,0.4021536084513946
prr,0.4229755737264872,1.0,0.4465555344046601,0.0001222711305549506,0.04311936306812655,4.3942227195828615e-15,0.17571862704658814,3.803369215727978e-25,0.05534137655318766
ror,0.42293457465868267,0.4465555344046601,1.0,0.00759968295835417,0.042343818832258226,3.4034324341913037e-15,0.17571129850563116,1.7035375861380018e-25,0.055356087429978204
prr_ror,0.42306405901983635,0.0001222711305549506,0.00759968295835417,1.0,0.04327915466683577,4.2525164475637575e-15,0.17578719092290362,3.3348253041106236e-25,0.05537909785012229
prr_ror_chi_square,0.4850984127120539,0.04311936306812655,0.042343818832258226,0.04327915466683577,1.0,4.594640334390087e-43,0.23044927924266345,0.0005789965526705929,0.09177436401638756
robust_prr_ror,0.5962714793774218,4.3942227195828615e-15,3.4034324341913037e-15,4.2525164475637575e-15,4.594640334390087e-43,1.0,0.3208736379490644,1.1401731049956882e-06,0.14514813379018357
bcpnn_ic025,0.3766276292761086,0.17571862704658814,0.17571129850563116,0.17578719092290362,0.23044927924266345,0.3208736379490644,1.0,0.2722096302472623,0.4328412925311984
ebgm_eb05,0.5435282977536353,3.803369215727978e-25,1.7035375861380018e-25,3.3348253041106236e-25,0.0005789965526705929,1.1401731049956882e-06,0.2722096302472623,1.0,0.11084527167531738
xgboost,0.4021536084513946,0.05534137655318766,0.055356087429978204,0.05537909785012229,0.09177436401638756,0.14514813379018357,0.4328412925311984,0.11084527167531738,1.0
